#ra,dec,filter[2==r],jd,mag,flux
37.028707700000005,-10.278607800000001,2,2458355.8944213,15.120699464568279,25193.01899828349
37.028684000000005,-10.2785255,2,2458368.9368634,14.7959915816972,35961.961132932454
37.0286441,-10.2785589,2,2458371.9200926004,14.781764284286874,36473.23512073105
37.028656700000006,-10.2785658,2,2458371.9415625,14.74677953891571,38722.927622135554
37.028647899999996,-10.2785566,2,2458374.8806366003,15.047668679542266,28299.093768236562
37.0286336,-10.2785648,2,2458374.8820139,15.03138679961413,30127.65157845439
37.0286866,-10.278578199999998,2,2458377.9303009,14.831289072792796,34400.46957838715
37.0286903,-10.278517599999999,2,2458383.8784837998,15.185216903428318,23981.32852612424
37.028634000000004,-10.2785133,2,2458383.8975694,15.121488594159725,25586.127654191492
37.028671100000004,-10.278561199999999,2,2458383.8975694,15.131862502989122,25342.823491414954
37.0286881,-10.278538699999999,2,2458386.898912,15.13450185767314,26533.788124998722
37.0286726,-10.2785281,2,2458397.8983218,15.142733079935965,25162.093280397836
37.02873579999999,-10.2785926,2,2458397.8987847,15.170316689640993,25313.565666277267
37.0287088,-10.2785779,2,2458422.8348495,15.108410015128426,25934.387401913937
37.0286947,-10.2786349,2,2458422.8522222,15.137086179714089,26030.680885466514
37.0287115,-10.278519099999999,2,2458425.8142593,15.0277686492667,26095.9156720982
37.028808700000006,-10.2786179,2,2458434.81125,14.855480908876562,33630.05955872175
37.028653000000006,-10.278576699999999,2,2458437.7944792,14.7662558798255,38027.48888519886
37.0288061,-10.278710499999999,2,2458437.7949421,14.782538626352196,36791.25050984132
37.0287096,-10.2786281,2,2458437.7949421,14.769255740668576,37244.11883915615
37.028693200000006,-10.278552000000001,2,2458441.8076736,15.067020467854793,21126.70717532763
37.028675299999996,-10.2785385,2,2458447.8346758997,15.119149870917905,26881.905597875193
37.0287171,-10.278588000000001,2,2458447.8351272997,15.141178613231958,25130.929666265118
37.0286391,-10.278573399999999,2,2458456.6887153,14.749988626469035,37414.89660604174
37.0286653,-10.2784857,2,2458456.718669,14.725463163855508,39125.03458534148
37.028478799999995,-10.2784121,2,2458464.7521181,15.01001995928614,28486.035834800085
37.028685100000004,-10.278509699999999,2,2458466.7342477003,15.11839302635097,18068.528682145523
37.0287572,-10.27869,2,2458468.7520717997,14.753801459782215,36488.78614071634
37.0287317,-10.2785414,2,2458472.7685301,15.100302091089892,27733.147633396227
37.028622600000006,-10.2786051,2,2458472.7689815,15.172387409539029,25560.246405427166
37.028689899999996,-10.2785645,2,2458475.7934838,15.135622030401832,25736.600893382212
37.0286967,-10.2785311,2,2458475.7957755,15.13227323734545,25309.916073581746
37.028648499999996,-10.278700099999998,2,2458481.7959259,15.05279478006425,26363.440606477434
37.028693200000006,-10.278583099999999,2,2458487.619537,15.103484742753633,27807.766170699968
37.028676700000005,-10.2785615,2,2458487.62,15.090327943529438,27339.39014371024
37.02875039999999,-10.2785774,2,2458510.6100578997,15.125378053404955,24932.669410867282
